COMP_K,COMP_R,COMP_RHKMFWY,COMP_RHKM,MAXSW20_COMP_RHKMFWY,MAXSW20_COMP_RHKM,AVG_DNA_IDX,AVG_RNA_IDX,AVG_DRNA_IDX,MAXSW15_AVG_RNA_IDX,Class
?,?,0.44882,?,?,?,0.46073000000000003,0.39145,0.43035,0.58526,Yes
0.09558,0.245,?,0.24420999999999998,0.57143,0.33333,?,0.40174,0.45106,0.49103,No
0.33489,0.24488000000000001,0.58548,?,0.57143,0.46667,0.4677,?,0.44569,?,No
0.21748,0.11731,0.56074,0.27381,0.64286,0.4,0.52122,0.38669000000000003,0.46123000000000003,?,No
0.25076,0.14777,0.41363,?,0.5,0.4,0.35381,0.34473000000000004,0.35061,0.26154,No
?,0.25344,0.4916,?,0.64286,?,0.49914,0.39874,0.45466000000000006,0.53974,Yes
?,0.19977,0.51913,0.37035999999999997,0.42857,0.33333,0.46147,?,0.4383,0.33782,No
?,?,0.42666000000000004,?,0.35714,0.33333,?,0.34262,0.38373,?,No
0.28558,0.0589,?,0.26582,0.42857,0.33333,0.42323999999999995,0.32515,0.37961,0.25256,No
?,0.25051999999999996,0.47228000000000003,?,0.5,0.33333,0.45127,?,?,0.39295,No
0.35755,0.24281999999999998,0.6098100000000001,?,0.64286,0.46667,0.49373,0.4259,0.46408999999999995,0.45513000000000003,Yes
0.40879,0.16862,0.53272,0.39646,0.71429,?,0.42418,0.39608000000000004,0.41248,?,Yes
?,0.24552,?,?,0.42857,0.33333,0.37693000000000004,0.31324,0.34886999999999996,0.27115,No
0.061439999999999995,0.25344,0.38327,0.21866999999999998,0.5,?,?,?,0.38745999999999997,0.34231,No
0.17576,0.18289,0.48433999999999994,0.27419,?,0.33333,0.49793000000000004,?,0.43727,0.33013000000000003,No
0.29994,0.18971,0.53745,0.40124,0.57143,0.46667,?,0.38304,?,0.41473999999999994,No
0.26997,0.18432,0.5354899999999999,0.36978,0.64286,?,?,0.38611,0.4459,?,Yes
0.048889999999999996,0.18149,0.27386,0.147,0.35714,0.26666999999999996,0.35546,0.25756,0.31174,0.26603000000000004,No
?,0.28545,0.4519,0.35033000000000003,0.57143,0.46667,0.46451000000000003,0.36576,0.42068999999999995,0.47628000000000004,Yes
0.48641999999999996,0.19008,0.64468,0.56912,?,0.6,0.52996,?,0.51155,0.45321000000000006,Yes
?,0.08622,0.52177,0.325,?,0.4,0.48871000000000003,0.37981,0.44033,0.35896999999999996,No
0.26552,0.50779,?,0.5776,0.5,0.53333,0.5946,?,0.57653,0.49808,Yes
?,?,0.38090999999999997,0.21466,0.5,0.2,0.41035,0.32495,?,0.28654,No
0.13317,?,0.51156,0.31361,0.57143,?,0.44343,0.35436,?,0.45513000000000003,No
0.21539,?,0.51132,?,0.78571,0.46667,0.52128,0.42975,0.4809,0.7025600000000001,No
0.18057,0.2873,0.46347,0.3907,0.71429,0.6,?,0.42343000000000003,0.42768,?,Yes
0.16296,0.20165999999999998,0.32299,0.29329,0.5,0.46667,0.38304,0.32306,0.35669,?,No
0.08977,0.14282999999999998,0.35853,0.22978,0.35714,0.33333,0.33853,0.25072,0.29936999999999997,?,No
